date,open,high,low,close,volume
2026-07-18,54.4,51.0,-9999,1,1784304000
2026-07-18,76.1,76.2,-9999,2,1784301300
2026-07-18,7.9,15.21,-9999,3,1784298600
2026-07-18,1.37,1.4,-9999,4,1784298600
2026-07-18,2.4,2.4,-9999,5,1784286000
2026-07-18,25.1,18.1,-9999,6,1784282400
2026-07-18,-9999.0,-9999.0,-9999,7,1784260800
2026-07-18,-9999.0,-9999.0,-9999,8,1784257200
2026-07-18,-9999.0,-9999.0,-9999,9,1784253600
2026-07-18,0.6,-9999.0,-9999,10,1784252700
2026-07-18,-9999.0,-9999.0,-9999,11,1784250000
2026-07-18,0.6,-9999.0,-9999,12,1784249100
2026-07-18,-9999.0,-9999.0,-9999,13,1784233500
2026-07-18,-9999.0,-9999.0,-9999,14,1784230200
2026-07-18,-9999.0,-9999.0,-9999,15,1784229900
2026-07-18,-9999.0,-9999.0,-9999,16,1784226600
2026-07-18,41.0,45.0,-9999,17,1784223000
2026-07-18,0.3,0.3,-9999,18,1784221200
2026-07-18,41.0,45.0,-9999,19,1784219400
2026-07-18,0.3,0.3,-9999,20,1784217600
2026-07-18,-0.2,-9999.0,-9999,21,1784215800
2026-07-18,239.0,256.0,-9999,22,1784214900
2026-07-18,-0.2,-9999.0,-9999,23,1784212200
2026-07-18,239.0,256.0,-9999,24,1784211300
2026-07-18,5.04,-9999.0,-9999,25,1784203320
2026-07-18,4.79,4.83,-9999,26,1784203200
2026-07-18,5.04,-9999.0,-9999,27,1784199720
2026-07-18,4.79,4.83,-9999,28,1784199600
2026-07-18,-9999.0,-9999.0,-9999,29,1784197800
2026-07-18,-9999.0,-9999.0,-9999,30,1784194200
2026-07-18,0.1,-9999.0,-9999,31,1784192400
2026-07-18,0.1,-9999.0,-9999,32,1784188800
2026-07-18,4.7,-9999.0,-9999,33,1784174400
2026-07-18,-9999.0,-9999.0,-9999,34,1784170800
2026-07-18,-9999.0,-9999.0,-9999,35,1784165400
2026-07-18,-9999.0,-9999.0,-9999,36,1784161800
2026-07-18,-9999.0,-9999.0,-9999,37,1784160000
2026-07-18,-9999.0,-9999.0,-9999,38,1784149200
2026-07-18,-9999.0,-9999.0,-9999,39,1784145600
2026-07-18,-9999.0,-9999.0,-9999,40,1784142000
2026-07-18,-9999.0,-9999.0,-9999,41,1784138400
2026-07-18,-9999.0,-9999.0,-9999,42,1784137500
2026-07-18,-1.7,-1.8,-9999,43,1784136600
2026-07-18,-9999.0,-9999.0,-9999,44,1784134800
2026-07-18,-9999.0,-9999.0,-9999,45,1784133900
2026-07-18,-9999.0,-1.8,-9999,46,1784133000
2026-07-18,-9999.0,-9999.0,-9999,47,1784131200
2026-07-18,-9999.0,-9999.0,-9999,48,1784130300
2026-07-18,1.3,1.1,-9999,49,1784129400
2026-07-18,0.2,0.3,-9999,50,1784129400
2026-07-18,-9999.0,-9999.0,-9999,51,1784126700
2026-07-18,1.3,1.1,-9999,52,1784125800
2026-07-18,0.2,0.3,-9999,53,1784125800
2026-07-18,-9999.0,-9999.0,-9999,54,1784122200
2026-07-18,3.64,-9999.0,-9999,55,1784118840
2026-07-18,-9999.0,-9999.0,-9999,56,1784118600
2026-07-18,-0.2,0.3,-9999,57,1784116800
2026-07-18,3.64,-9999.0,-9999,58,1784115240
2026-07-18,-0.2,0.3,-9999,59,1784113200
2026-07-18,1.1,0.4,-9999,60,1784100600
2026-07-18,-12.4,-4.2,-9999,61,1784083800
2026-07-18,-9999.0,-9999.0,-9999,62,1784073600
2026-07-18,-9999.0,-9999.0,-9999,63,1784071800
2026-07-18,-9999.0,-9999.0,-9999,64,1784070000
2026-07-18,232.7,128.5,-9999,65,1784070000
2026-07-18,-9999.0,-9999.0,-9999,66,1784066100
2026-07-18,-9999.0,-9999.0,-9999,67,1784059200
2026-07-18,-9999.0,-9999.0,-9999,68,1784058000
2026-07-18,0.2,-9999.0,-9999,69,1784050200
2026-07-18,-9999.0,-9999.0,-9999,70,1784048400
2026-07-18,-0.5,-9999.0,-9999,71,1784046600
2026-07-18,-9999.0,0.2,-9999,72,1784043000
2026-07-18,19.8,-9999.0,-9999,73,1784042100
2026-07-18,97.4,95.8,-9999,74,1784034000
2026-07-18,-9999.0,-9999.0,-9999,75,1784029500
2026-07-18,-0.3,-0.5,-9999,76,1784021400
2026-07-18,-0.7,0.5,-9999,77,1784019600
2026-07-18,0.1,0.5,-9999,78,1784014200
2026-07-18,-9999.0,0.5,-9999,79,1784010600
2026-07-18,-9999.0,-9999.0,-9999,80,1784003400
2026-07-18,-9999.0,-9999.0,-9999,81,1783999800
2026-07-18,4.1,-9999.0,-9999,82,1783996200
2026-07-18,1.7,2.6,-9999,83,1783994460
2026-07-18,-2.4,-9999.0,-9999,84,1783993500
2026-07-18,1.7,2.6,-9999,85,1783990860
2026-07-18,8.0,-9999.0,-9999,86,1783990800
2026-07-18,-2.4,-9999.0,-9999,87,1783989900
2026-07-18,8.0,-9999.0,-9999,88,1783987200
2026-07-18,-9999.0,-9999.0,-9999,89,1783987200
2026-07-18,-9999.0,-9999.0,-9999,90,1783976400
2026-07-18,-120.3,-135.8,-9999,91,1783976400
2026-07-18,-120.3,-135.8,-9999,92,1783976340
2026-07-18,-9999.0,-9999.0,-9999,93,1783972800
2026-07-18,-120.3,-135.8,-9999,94,1783972740
2026-07-18,-9999.0,-9999.0,-9999,95,1783971000
2026-07-18,-9999.0,-9999.0,-9999,96,1783967400
2026-07-18,-9999.0,-9999.0,-9999,97,1783945500
2026-07-18,-9999.0,-9999.0,-9999,98,1783941900
2026-07-18,50.6,-9999.0,-9999,99,1783906200
